Image,GT,mask_rcnn_R_50_C4,mask_rcnn_R_50_DC5,mask_rcnn_R_50_FPN,mask_rcnn_R_101_C4,mask_rcnn_R_101_DC5,mask_rcnn_R_101_FPN
0492a795-9453-4099-9_0_0_0_400_400.png,0.07835,0.03606875,0.0265125,0.0268125,0.0368875,0.02775625,0.01878125
0492a795-9453-4099-9_0_320_0_720_400.png,0.07553125,0.0242125,0.03508125,0.02506875,0.025075,0.02473125,0.0248
0492a795-9453-4099-9_0_640_0_1040_400.png,0.0452625,0.03473125,0.0373375,0.04143125,0.0218625,0.02273125,0.01989375
0492a795-9453-4099-9_0_960_0_1360_400.png,0.0558125,0.0552875,0.06860625,0.04344375,0.081275,0.074775,0.02428125
0492a795-9453-4099-9_0_1280_0_1680_400.png,0.0365625,0.0492625,0.0337125,0.029625,0.065425,0.0409125,0.03945625
0492a795-9453-4099-9_0_1600_0_2000_400.png,0.01395625,0.01434375,0.02368125,0.0152,0.0343875,0.01415625,0.0327
0492a795-9453-4099-9_0_1648_0_2048_400.png,0.00905625,0.0,0.03866875,0.0,0.0,0.0,0.0
0492a795-9453-4099-9_0_0_320_400_720.png,0.2202625,0.20410625,0.19785625,0.1937875,0.2001375,0.2024625,0.20063125
0492a795-9453-4099-9_0_320_320_720_720.png,0.2273,0.19319375,0.19271875,0.18160625,0.19486875,0.21525625,0.18388125
0492a795-9453-4099-9_0_640_320_1040_720.png,0.19056875,0.17521875,0.1873625,0.16120625,0.1614,0.1666,0.17438125
0492a795-9453-4099-9_0_960_320_1360_720.png,0.31493125,0.35003125,0.32760625,0.28911875,0.3156125,0.334825,0.2788875
0492a795-9453-4099-9_0_1280_320_1680_720.png,0.2688875,0.3157375,0.30354375,0.2534125,0.32946875,0.312225,0.25931875
0492a795-9453-4099-9_0_1600_320_2000_720.png,0.23623125,0.27559375,0.28645625,0.23693125,0.2784375,0.2936625,0.23045
0492a795-9453-4099-9_0_1648_320_2048_720.png,0.21836875,0.2629125,0.2533125,0.22800625,0.25308125,0.2614,0.2138875
0492a795-9453-4099-9_0_0_640_400_1040.png,0.20729375,0.23650625,0.2243,0.2063875,0.230125,0.2083375,0.2178
0492a795-9453-4099-9_0_320_640_720_1040.png,0.163275,0.164425,0.1590875,0.16035625,0.16008125,0.16125,0.160475
0492a795-9453-4099-9_0_640_640_1040_1040.png,0.161925,0.16213125,0.15671875,0.15738125,0.15705,0.159075,0.16278125
0492a795-9453-4099-9_0_960_640_1360_1040.png,0.213725,0.22240625,0.21400625,0.20931875,0.2393375,0.21525,0.21109375
0492a795-9453-4099-9_0_1280_640_1680_1040.png,0.376425,0.3619,0.35028125,0.3198125,0.38965,0.3815125,0.27081875
0492a795-9453-4099-9_0_1600_640_2000_1040.png,0.13928125,0.145725,0.1463875,0.138975,0.1516,0.15275625,0.1273375
0492a795-9453-4099-9_0_1648_640_2048_1040.png,0.08739375,0.0907125,0.1033625,0.08600625,0.0854375,0.1047125,0.08469375
0492a795-9453-4099-9_0_0_960_400_1360.png,0.0464125,0.05080625,0.049025,0.04721875,0.04818125,0.05029375,0.04875
0492a795-9453-4099-9_0_320_960_720_1360.png,0.00365625,0.0,0.0,0.0,0.0,0.0,0.0
0492a795-9453-4099-9_0_640_960_1040_1360.png,0.0560875,0.060575,0.05680625,0.058025,0.05743125,0.0594,0.0582625
0492a795-9453-4099-9_0_960_960_1360_1360.png,0.1952875,0.2139625,0.21625625,0.18453125,0.2212625,0.215825,0.16956875
0492a795-9453-4099-9_0_1280_960_1680_1360.png,0.4068875,0.43425,0.40350625,0.3538875,0.4572875,0.44709375,0.3357625
0492a795-9453-4099-9_0_1600_960_2000_1360.png,0.1076625,0.0972125,0.10069375,0.09246875,0.09876875,0.10414375,0.093625
0492a795-9453-4099-9_0_1648_960_2048_1360.png,0.040175,0.056575,0.04431875,0.04285625,0.0422,0.04445,0.0359125
0492a795-9453-4099-9_0_0_1280_400_1680.png,0.22693125,0.23033125,0.22941875,0.21365,0.2239125,0.23514375,0.21554375
0492a795-9453-4099-9_0_320_1280_720_1680.png,0.0762875,0.07861875,0.0760625,0.07591875,0.07606875,0.07651875,0.07665625
0492a795-9453-4099-9_0_640_1280_1040_1680.png,0.065175,0.071375,0.06749375,0.06659375,0.06549375,0.069975,0.068075
0492a795-9453-4099-9_0_960_1280_1360_1680.png,0.30828125,0.30763125,0.2835125,0.27170625,0.27475625,0.289175,0.27821875
0492a795-9453-4099-9_0_1280_1280_1680_1680.png,0.18175625,0.1800375,0.1891375,0.18333125,0.18684375,0.18903125,0.17179375
0492a795-9453-4099-9_0_1600_1280_2000_1680.png,0.005125,0.0,0.0,0.0,0.0,0.0,0.0
0492a795-9453-4099-9_0_1648_1280_2048_1680.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0492a795-9453-4099-9_0_0_1600_400_2000.png,0.4098625,0.43346875,0.42873125,0.3923125,0.43136875,0.43691875,0.3871
0492a795-9453-4099-9_0_320_1600_720_2000.png,0.26169375,0.26806875,0.27083125,0.2539625,0.262025,0.25973125,0.25380625
0492a795-9453-4099-9_0_640_1600_1040_2000.png,0.38163125,0.40305,0.37578125,0.337425,0.40606875,0.38421875,0.31695625
0492a795-9453-4099-9_0_960_1600_1360_2000.png,0.4754,0.4992375,0.43800625,0.355275,0.47048125,0.4651625,0.30139375
0492a795-9453-4099-9_0_1280_1600_1680_2000.png,0.24719375,0.2673875,0.24673125,0.22154375,0.23139375,0.2290125,0.19710625
0492a795-9453-4099-9_0_1600_1600_2000_2000.png,0.0974125,0.10265,0.10528125,0.098025,0.10015,0.09795625,0.09806875
0492a795-9453-4099-9_0_1648_1600_2048_2000.png,0.07639375,0.0808625,0.0783,0.078,0.07808125,0.0804125,0.0766625
