Image,GT,mask_rcnn_R_50_C4,mask_rcnn_R_50_DC5,mask_rcnn_R_50_FPN,mask_rcnn_R_101_C4,mask_rcnn_R_101_DC5,mask_rcnn_R_101_FPN
0492a795-9453-4099-9_0_0_0_400_400.png,5,5,4,4,5,4,3
0492a795-9453-4099-9_0_320_0_720_400.png,5,3,4,3,3,3,3
0492a795-9453-4099-9_0_640_0_1040_400.png,5,7,7,5,5,5,3
0492a795-9453-4099-9_0_960_0_1360_400.png,8,9,9,6,11,11,5
0492a795-9453-4099-9_0_1280_0_1680_400.png,5,9,7,5,9,8,5
0492a795-9453-4099-9_0_1600_0_2000_400.png,2,2,3,2,3,2,3
0492a795-9453-4099-9_0_1648_0_2048_400.png,2,0,2,0,0,0,0
0492a795-9453-4099-9_0_0_320_400_720.png,21,20,20,19,20,20,20
0492a795-9453-4099-9_0_320_320_720_720.png,21,20,20,19,21,21,19
0492a795-9453-4099-9_0_640_320_1040_720.png,19,20,21,19,19,19,18
0492a795-9453-4099-9_0_960_320_1360_720.png,35,38,37,32,34,38,31
0492a795-9453-4099-9_0_1280_320_1680_720.png,39,41,40,33,43,40,33
0492a795-9453-4099-9_0_1600_320_2000_720.png,28,31,33,27,32,32,25
0492a795-9453-4099-9_0_1648_320_2048_720.png,25,31,28,26,28,29,23
0492a795-9453-4099-9_0_0_640_400_1040.png,16,17,17,16,17,16,16
0492a795-9453-4099-9_0_320_640_720_1040.png,13,13,13,13,13,13,13
0492a795-9453-4099-9_0_640_640_1040_1040.png,15,17,17,17,17,17,17
0492a795-9453-4099-9_0_960_640_1360_1040.png,21,22,22,21,24,22,21
0492a795-9453-4099-9_0_1280_640_1680_1040.png,47,44,45,38,47,44,32
0492a795-9453-4099-9_0_1600_640_2000_1040.png,21,22,24,21,23,23,18
0492a795-9453-4099-9_0_1648_640_2048_1040.png,14,14,16,12,13,15,11
0492a795-9453-4099-9_0_0_960_400_1360.png,5,5,5,5,5,5,5
0492a795-9453-4099-9_0_320_960_720_1360.png,1,0,0,0,0,0,0
0492a795-9453-4099-9_0_640_960_1040_1360.png,7,8,8,8,8,8,7
0492a795-9453-4099-9_0_960_960_1360_1360.png,22,23,24,21,24,23,17
0492a795-9453-4099-9_0_1280_960_1680_1360.png,41,42,39,34,45,41,29
0492a795-9453-4099-9_0_1600_960_2000_1360.png,14,13,14,13,13,14,11
0492a795-9453-4099-9_0_1648_960_2048_1360.png,6,7,6,5,5,6,4
0492a795-9453-4099-9_0_0_1280_400_1680.png,20,20,21,19,20,21,19
0492a795-9453-4099-9_0_320_1280_720_1680.png,7,9,8,8,8,8,8
0492a795-9453-4099-9_0_640_1280_1040_1680.png,9,10,9,9,9,10,9
0492a795-9453-4099-9_0_960_1280_1360_1680.png,25,28,27,25,26,28,25
0492a795-9453-4099-9_0_1280_1280_1680_1680.png,16,16,17,16,17,16,13
0492a795-9453-4099-9_0_1600_1280_2000_1680.png,1,0,0,0,0,0,0
0492a795-9453-4099-9_0_1648_1280_2048_1680.png,0,0,0,0,0,0,0
0492a795-9453-4099-9_0_0_1600_400_2000.png,42,39,40,35,40,39,35
0492a795-9453-4099-9_0_320_1600_720_2000.png,31,32,33,29,32,30,28
0492a795-9453-4099-9_0_640_1600_1040_2000.png,46,52,48,40,49,49,37
0492a795-9453-4099-9_0_960_1600_1360_2000.png,40,55,48,38,52,52,29
0492a795-9453-4099-9_0_1280_1600_1680_2000.png,23,29,27,21,24,25,20
0492a795-9453-4099-9_0_1600_1600_2000_2000.png,11,11,13,10,11,10,10
0492a795-9453-4099-9_0_1648_1600_2048_2000.png,9,9,9,8,9,9,8
0492a795-9453-4099-9_0_0_1648_400_2048.png,35,35,35,33,36,36,31
0492a795-9453-4099-9_0_320_1648_720_2048.png,32,34,36,30,34,34,29
0492a795-9453-4099-9_0_640_1648_1040_2048.png,47,56,52,38,56,52,38
0492a795-9453-4099-9_0_960_1648_1360_2048.png,40,55,52,37,52,53,30
0492a795-9453-4099-9_0_1280_1648_1680_2048.png,26,34,33,24,30,29,20
0492a795-9453-4099-9_0_1600_1648_2000_2048.png,15,16,17,14,16,17,13
0492a795-9453-4099-9_0_1648_1648_2048_2048.png,13,13,13,12,13,13,11
08d9cdda-846b-489b-9_1_0_0_400_400.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_320_0_720_400.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_640_0_1040_400.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_960_0_1360_400.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_1280_0_1680_400.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_1600_0_2000_400.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_1648_0_2048_400.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_0_320_400_720.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_320_320_720_720.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_640_320_1040_720.png,1,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_960_320_1360_720.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_1280_320_1680_720.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_1600_320_2000_720.png,0,0,0,0,0,0,0
08d9cdda-846b-489b-9_1_1648_320_2048_720.png,0,0,0,0,0,0,0
