Image,Ground Truth Annotation Count,Model Prediction Count,Ground Truth Area,Model Prediction Area,Ground Truth Area Normalized,Model Prediction Area Normalized
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_0_400_400.png,5,5,12536,5771,0.07835,0.03606875
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_0_720_400.png,5,3,12085,3874,0.07553125,0.0242125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_0_1040_400.png,5,7,7242,5557,0.0452625,0.03473125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_0_1360_400.png,8,9,8930,8846,0.0558125,0.0552875
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_0_1680_400.png,5,9,5850,7882,0.0365625,0.0492625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_0_2000_400.png,2,2,2233,2295,0.01395625,0.01434375
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1648_0_2048_400.png,2,0,1449,0,0.00905625,0.0
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_320_400_720.png,21,20,35242,32657,0.2202625,0.20410625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_320_720_720.png,21,20,36368,30911,0.2273,0.19319375
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_320_1040_720.png,19,20,30491,28035,0.19056875,0.17521875
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_320_1360_720.png,35,38,50389,56005,0.31493125,0.35003125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_320_1680_720.png,39,41,43022,50518,0.2688875,0.3157375
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_320_2000_720.png,28,31,37797,44095,0.23623125,0.27559375
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1648_320_2048_720.png,25,31,34939,42066,0.21836875,0.2629125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_640_400_1040.png,16,17,33167,37841,0.20729375,0.23650625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_640_720_1040.png,13,13,26124,26308,0.163275,0.164425
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_640_1040_1040.png,15,17,25908,25941,0.161925,0.16213125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_640_1360_1040.png,21,22,34196,35585,0.213725,0.22240625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_640_1680_1040.png,47,44,60228,57904,0.376425,0.3619
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_640_2000_1040.png,21,22,22285,23316,0.13928125,0.145725
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1648_640_2048_1040.png,14,14,13983,14514,0.08739375,0.0907125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_960_400_1360.png,5,5,7426,8129,0.0464125,0.05080625
