Image,Ground Truth Annotation Count,Model Prediction Count,Ground Truth Area,Model Prediction Area,Ground Truth Area Normalized,Model Prediction Area Normalized
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_0_400_400.png,5,4,12536,4441,0.07835,0.02775625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_0_720_400.png,5,3,12085,3957,0.07553125,0.02473125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_0_1040_400.png,5,5,7242,3637,0.0452625,0.02273125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_0_1360_400.png,8,11,8930,11964,0.0558125,0.074775
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_0_1680_400.png,5,8,5850,6546,0.0365625,0.0409125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_0_2000_400.png,2,2,2233,2265,0.01395625,0.01415625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1648_0_2048_400.png,2,0,1449,0,0.00905625,0.0
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_320_400_720.png,21,20,35242,32394,0.2202625,0.2024625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_320_720_720.png,21,21,36368,34441,0.2273,0.21525625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_320_1040_720.png,19,19,30491,26656,0.19056875,0.1666
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_320_1360_720.png,35,38,50389,53572,0.31493125,0.334825
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_320_1680_720.png,39,40,43022,49956,0.2688875,0.312225
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_320_2000_720.png,28,32,37797,46986,0.23623125,0.2936625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1648_320_2048_720.png,25,29,34939,41824,0.21836875,0.2614
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_640_400_1040.png,16,16,33167,33334,0.20729375,0.2083375
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_640_720_1040.png,13,13,26124,25800,0.163275,0.16125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_640_1040_1040.png,15,17,25908,25452,0.161925,0.159075
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_640_1360_1040.png,21,22,34196,34440,0.213725,0.21525
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_640_1680_1040.png,47,44,60228,61042,0.376425,0.3815125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_640_2000_1040.png,21,23,22285,24441,0.13928125,0.15275625
