Image,Ground Truth Annotation Count,Model Prediction Count,Ground Truth Area,Model Prediction Area,Ground Truth Area Normalized,Model Prediction Area Normalized
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_0_400_400.png,5,3,12536,3005,0.07835,0.01878125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_0_720_400.png,5,3,12085,3968,0.07553125,0.0248
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_0_1040_400.png,5,3,7242,3183,0.0452625,0.01989375
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_0_1360_400.png,8,5,8930,3885,0.0558125,0.02428125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_0_1680_400.png,5,5,5850,6313,0.0365625,0.03945625
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_0_2000_400.png,2,3,2233,5232,0.01395625,0.0327
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1648_0_2048_400.png,2,0,1449,0,0.00905625,0.0
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_320_400_720.png,21,20,35242,32101,0.2202625,0.20063125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_320_720_720.png,21,19,36368,29421,0.2273,0.18388125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_320_1040_720.png,19,18,30491,27901,0.19056875,0.17438125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_320_1360_720.png,35,31,50389,44622,0.31493125,0.2788875
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_320_1680_720.png,39,33,43022,41491,0.2688875,0.25931875
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1600_320_2000_720.png,28,25,37797,36872,0.23623125,0.23045
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1648_320_2048_720.png,25,23,34939,34222,0.21836875,0.2138875
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_0_640_400_1040.png,16,16,33167,34848,0.20729375,0.2178
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_320_640_720_1040.png,13,13,26124,25676,0.163275,0.160475
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_640_640_1040_1040.png,15,17,25908,26045,0.161925,0.16278125
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_960_640_1360_1040.png,21,21,34196,33775,0.213725,0.21109375
./new_balanced_data/sliced_coco/val2017/0492a795-9453-4099-9_0_1280_640_1680_1040.png,47,32,60228,43331,0.376425,0.27081875
