Image,GT,mask_rcnn_R_50_C4,mask_rcnn_R_50_DC5,mask_rcnn_R_50_FPN,mask_rcnn_R_101_C4,mask_rcnn_R_101_DC5,mask_rcnn_R_101_FPN,Cellpose,StarDist
0492a795-9453-4099-9_0_0_0_400_400.png,0.07835,0.03606875,0.0265125,0.0268125,0.0368875,0.02775625,0.01878125,0.01705625,0.1015375
0492a795-9453-4099-9_0_320_0_720_400.png,0.07553125,0.0242125,0.03508125,0.02506875,0.025075,0.02473125,0.0248,0.0205375,0.061225
0492a795-9453-4099-9_0_640_0_1040_400.png,0.0452625,0.03473125,0.0373375,0.04143125,0.0218625,0.02273125,0.01989375,0.0051625,0.01970625
0492a795-9453-4099-9_0_960_0_1360_400.png,0.0558125,0.0552875,0.06860625,0.04344375,0.081275,0.074775,0.02428125,0.0065,0.0717125
0492a795-9453-4099-9_0_1280_0_1680_400.png,0.0365625,0.0492625,0.0337125,0.029625,0.065425,0.0409125,0.03945625,0.0129,0.01595
0492a795-9453-4099-9_0_1600_0_2000_400.png,0.01395625,0.01434375,0.02368125,0.0152,0.0343875,0.01415625,0.0327,0.0,0.06373125
0492a795-9453-4099-9_0_1648_0_2048_400.png,0.00905625,0.0,0.03866875,0.0,0.0,0.0,0.0,0.01148125,0.1145625
0492a795-9453-4099-9_0_0_320_400_720.png,0.2202625,0.20410625,0.19785625,0.1937875,0.2001375,0.2024625,0.20063125,0.19680625,0.24266875
0492a795-9453-4099-9_0_320_320_720_720.png,0.2273,0.19319375,0.19271875,0.18160625,0.19486875,0.21525625,0.18388125,0.17844375,0.1944
0492a795-9453-4099-9_0_640_320_1040_720.png,0.19056875,0.17521875,0.1873625,0.16120625,0.1614,0.1666,0.17438125,0.1378125,0.12558125
0492a795-9453-4099-9_0_960_320_1360_720.png,0.31493125,0.35003125,0.32760625,0.28911875,0.3156125,0.334825,0.2788875,0.2008625,0.1950625
0492a795-9453-4099-9_0_1280_320_1680_720.png,0.2688875,0.3157375,0.30354375,0.2534125,0.32946875,0.312225,0.25931875,0.163475,0.22240625
0492a795-9453-4099-9_0_1600_320_2000_720.png,0.23623125,0.27559375,0.28645625,0.23693125,0.2784375,0.2936625,0.23045,0.1332875,0.17253125
0492a795-9453-4099-9_0_1648_320_2048_720.png,0.21836875,0.2629125,0.2533125,0.22800625,0.25308125,0.2614,0.2138875,0.12055,0.11950625
0492a795-9453-4099-9_0_0_640_400_1040.png,0.20729375,0.23650625,0.2243,0.2063875,0.230125,0.2083375,0.2178,0.203375,0.20056875
0492a795-9453-4099-9_0_320_640_720_1040.png,0.163275,0.164425,0.1590875,0.16035625,0.16008125,0.16125,0.160475,0.16163125,0.17068125
0492a795-9453-4099-9_0_640_640_1040_1040.png,0.161925,0.16213125,0.15671875,0.15738125,0.15705,0.159075,0.16278125,0.14785,0.18471875
0492a795-9453-4099-9_0_960_640_1360_1040.png,0.213725,0.22240625,0.21400625,0.20931875,0.2393375,0.21525,0.21109375,0.19939375,0.22006875
0492a795-9453-4099-9_0_1280_640_1680_1040.png,0.376425,0.3619,0.35028125,0.3198125,0.38965,0.3815125,0.27081875,0.2297,0.32654375
0492a795-9453-4099-9_0_1600_640_2000_1040.png,0.13928125,0.145725,0.1463875,0.138975,0.1516,0.15275625,0.1273375,0.1099125,0.14
0492a795-9453-4099-9_0_1648_640_2048_1040.png,0.08739375,0.0907125,0.1033625,0.08600625,0.0854375,0.1047125,0.08469375,0.0752,0.096
0492a795-9453-4099-9_0_0_960_400_1360.png,0.0464125,0.05080625,0.049025,0.04721875,0.04818125,0.05029375,0.04875,0.0319875,0.05286875
0492a795-9453-4099-9_0_320_960_720_1360.png,0.00365625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00371875
0492a795-9453-4099-9_0_640_960_1040_1360.png,0.0560875,0.060575,0.05680625,0.058025,0.05743125,0.0594,0.0582625,0.04366875,0.0604625
0492a795-9453-4099-9_0_960_960_1360_1360.png,0.1952875,0.2139625,0.21625625,0.18453125,0.2212625,0.215825,0.16956875,0.1533375,0.1915125
0492a795-9453-4099-9_0_1280_960_1680_1360.png,0.4068875,0.43425,0.40350625,0.3538875,0.4572875,0.44709375,0.3357625,0.2930375,0.35290625
0492a795-9453-4099-9_0_1600_960_2000_1360.png,0.1076625,0.0972125,0.10069375,0.09246875,0.09876875,0.10414375,0.093625,0.07739375,0.0822625
0492a795-9453-4099-9_0_1648_960_2048_1360.png,0.040175,0.056575,0.04431875,0.04285625,0.0422,0.04445,0.0359125,0.03021875,0.0340125
0492a795-9453-4099-9_0_0_1280_400_1680.png,0.22693125,0.23033125,0.22941875,0.21365,0.2239125,0.23514375,0.21554375,0.208625,0.24989375
0492a795-9453-4099-9_0_320_1280_720_1680.png,0.0762875,0.07861875,0.0760625,0.07591875,0.07606875,0.07651875,0.07665625,0.07124375,0.08535
0492a795-9453-4099-9_0_640_1280_1040_1680.png,0.065175,0.071375,0.06749375,0.06659375,0.06549375,0.069975,0.068075,0.0553,0.0700375
0492a795-9453-4099-9_0_960_1280_1360_1680.png,0.30828125,0.30763125,0.2835125,0.27170625,0.27475625,0.289175,0.27821875,0.19243125,0.26099375
0492a795-9453-4099-9_0_1280_1280_1680_1680.png,0.18175625,0.1800375,0.1891375,0.18333125,0.18684375,0.18903125,0.17179375,0.13156875,0.165225
0492a795-9453-4099-9_0_1600_1280_2000_1680.png,0.005125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00573125
0492a795-9453-4099-9_0_1648_1280_2048_1680.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003375
0492a795-9453-4099-9_0_0_1600_400_2000.png,0.4098625,0.43346875,0.42873125,0.3923125,0.43136875,0.43691875,0.3871,0.33853125,0.426125
0492a795-9453-4099-9_0_320_1600_720_2000.png,0.26169375,0.26806875,0.27083125,0.2539625,0.262025,0.25973125,0.25380625,0.24695,0.279475
0492a795-9453-4099-9_0_640_1600_1040_2000.png,0.38163125,0.40305,0.37578125,0.337425,0.40606875,0.38421875,0.31695625,0.22575,0.324725
0492a795-9453-4099-9_0_960_1600_1360_2000.png,0.4754,0.4992375,0.43800625,0.355275,0.47048125,0.4651625,0.30139375,0.12548125,0.30015
0492a795-9453-4099-9_0_1280_1600_1680_2000.png,0.24719375,0.2673875,0.24673125,0.22154375,0.23139375,0.2290125,0.19710625,0.0299,0.1299
0492a795-9453-4099-9_0_1600_1600_2000_2000.png,0.0974125,0.10265,0.10528125,0.098025,0.10015,0.09795625,0.09806875,0.06254375,0.1136625
0492a795-9453-4099-9_0_1648_1600_2048_2000.png,0.07639375,0.0808625,0.0783,0.078,0.07808125,0.0804125,0.0766625,0.05825625,0.0974625
0492a795-9453-4099-9_0_0_1648_400_2048.png,0.3952375,0.423525,0.4065,0.39023125,0.4249875,0.4432,0.36288125,0.33069375,0.4268125
0492a795-9453-4099-9_0_320_1648_720_2048.png,0.29093125,0.30905625,0.31839375,0.28675625,0.3173875,0.32751875,0.28458125,0.275425,0.32028125
0492a795-9453-4099-9_0_640_1648_1040_2048.png,0.40399375,0.4676625,0.41685,0.309125,0.48021875,0.4187875,0.31575,0.2226875,0.3817125
0492a795-9453-4099-9_0_960_1648_1360_2048.png,0.4598875,0.49259375,0.4435375,0.34645,0.4662875,0.4677625,0.29685625,0.094175,0.2845375
0492a795-9453-4099-9_0_1280_1648_1680_2048.png,0.30771875,0.33230625,0.3141375,0.2429875,0.30019375,0.2783375,0.21809375,0.02224375,0.14923125
0492a795-9453-4099-9_0_1600_1648_2000_2048.png,0.13911875,0.14415625,0.14483125,0.13569375,0.1379875,0.1613375,0.1286625,0.06941875,0.09653125
0492a795-9453-4099-9_0_1648_1648_2048_2048.png,0.10968125,0.11508125,0.111575,0.11099375,0.11214375,0.12735625,0.1084625,0.06368125,0.1389875
08d9cdda-846b-489b-9_1_0_0_400_400.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00899375
08d9cdda-846b-489b-9_1_320_0_720_400.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08d9cdda-846b-489b-9_1_640_0_1040_400.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08d9cdda-846b-489b-9_1_960_0_1360_400.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298625
08d9cdda-846b-489b-9_1_1280_0_1680_400.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006775
08d9cdda-846b-489b-9_1_1600_0_2000_400.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241
08d9cdda-846b-489b-9_1_1648_0_2048_400.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271875
08d9cdda-846b-489b-9_1_0_320_400_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1399625
08d9cdda-846b-489b-9_1_320_320_720_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01460625
08d9cdda-846b-489b-9_1_640_320_1040_720.png,0.00794375,0.0,0.0,0.0,0.0,0.0,0.0,0.00779375,0.07655
08d9cdda-846b-489b-9_1_960_320_1360_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174375
08d9cdda-846b-489b-9_1_1280_320_1680_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03245
08d9cdda-846b-489b-9_1_1600_320_2000_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224
08d9cdda-846b-489b-9_1_1648_320_2048_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854375
08d9cdda-846b-489b-9_1_0_640_400_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08d9cdda-846b-489b-9_1_320_640_720_1040.png,0.010375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01015
08d9cdda-846b-489b-9_1_640_640_1040_1040.png,0.05484375,0.056025,0.0544625,0.05420625,0.055125,0.0557875,0.05448125,0.0526625,0.0649625
08d9cdda-846b-489b-9_1_960_640_1360_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549375
08d9cdda-846b-489b-9_1_1280_640_1680_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095375
08d9cdda-846b-489b-9_1_1600_640_2000_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01095
08d9cdda-846b-489b-9_1_1648_640_2048_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00925625
08d9cdda-846b-489b-9_1_0_960_400_1360.png,0.05019375,0.05250625,0.052025,0.05185,0.051675,0.05135625,0.05298125,0.04819375,0.05606875
08d9cdda-846b-489b-9_1_320_960_720_1360.png,0.152325,0.16151875,0.15251875,0.15264375,0.16450625,0.1630125,0.1536,0.13974375,0.16105
08d9cdda-846b-489b-9_1_640_960_1040_1360.png,0.1417375,0.19694375,0.16156875,0.14891875,0.1670875,0.19288125,0.15049375,0.1187125,0.15251875
08d9cdda-846b-489b-9_1_960_960_1360_1360.png,0.06095625,0.06338125,0.06056875,0.06021875,0.0608375,0.06259375,0.06051875,0.0597,0.07131875
08d9cdda-846b-489b-9_1_1280_960_1680_1360.png,0.0882,0.08930625,0.086475,0.08738125,0.086525,0.087925,0.087375,0.08200625,0.09343125
08d9cdda-846b-489b-9_1_1600_960_2000_1360.png,0.0683875,0.072625,0.06845,0.06995625,0.06829375,0.07115,0.07023125,0.06619375,0.0757625
08d9cdda-846b-489b-9_1_1648_960_2048_1360.png,0.04606875,0.04724375,0.045675,0.04539375,0.04534375,0.04589375,0.0459375,0.04474375,0.052075
08d9cdda-846b-489b-9_1_0_1280_400_1680.png,0.22013125,0.2330625,0.24726875,0.21583125,0.22881875,0.23845625,0.2180875,0.1987875,0.2261875
08d9cdda-846b-489b-9_1_320_1280_720_1680.png,0.2021875,0.2023625,0.20899375,0.19026875,0.19795,0.21268125,0.1926125,0.18205,0.21025
08d9cdda-846b-489b-9_1_640_1280_1040_1680.png,0.16756875,0.1742375,0.161325,0.16428125,0.163625,0.17304375,0.162975,0.15343125,0.16825
08d9cdda-846b-489b-9_1_960_1280_1360_1680.png,0.12375,0.12385625,0.12109375,0.122175,0.12009375,0.1225,0.1211625,0.11950625,0.14049375
08d9cdda-846b-489b-9_1_1280_1280_1680_1680.png,0.22525625,0.22945625,0.22341875,0.2228875,0.2231125,0.22521875,0.222475,0.22444375,0.2317
08d9cdda-846b-489b-9_1_1600_1280_2000_1680.png,0.09946875,0.09871875,0.0959875,0.096875,0.0955,0.09785,0.09543125,0.095175,0.10845625
08d9cdda-846b-489b-9_1_1648_1280_2048_1680.png,0.10579375,0.10544375,0.10311875,0.102925,0.10216875,0.1041,0.10349375,0.10293125,0.10720625
08d9cdda-846b-489b-9_1_0_1600_400_2000.png,0.143725,0.150725,0.1618625,0.14533125,0.15515625,0.1460375,0.13855,0.0838875,0.2047375
08d9cdda-846b-489b-9_1_320_1600_720_2000.png,0.0913375,0.08754375,0.12983125,0.08680625,0.0886625,0.1295625,0.0869125,0.0710875,0.0772375
08d9cdda-846b-489b-9_1_640_1600_1040_2000.png,0.1544375,0.173425,0.1598,0.143075,0.15076875,0.1640875,0.1369,0.06350625,0.13514375
08d9cdda-846b-489b-9_1_960_1600_1360_2000.png,0.14936875,0.146825,0.14439375,0.1432875,0.14919375,0.1449875,0.1443375,0.1090375,0.1723875
08d9cdda-846b-489b-9_1_1280_1600_1680_2000.png,0.18191875,0.22750625,0.22783125,0.1908625,0.21789375,0.204125,0.17000625,0.1274375,0.18551875
08d9cdda-846b-489b-9_1_1600_1600_2000_2000.png,0.0635,0.07023125,0.06695625,0.06874375,0.0685,0.06884375,0.06684375,0.048825,0.08258125
08d9cdda-846b-489b-9_1_1648_1600_2048_2000.png,0.05659375,0.0637125,0.060375,0.06120625,0.06223125,0.06261875,0.06210625,0.0222375,0.11243125
08d9cdda-846b-489b-9_1_0_1648_400_2048.png,0.113825,0.1199375,0.1168125,0.11030625,0.12625,0.11479375,0.11389375,0.05834375,0.16611875
08d9cdda-846b-489b-9_1_320_1648_720_2048.png,0.07373125,0.0703875,0.11243125,0.09564375,0.07159375,0.1095,0.069875,0.05341875,0.0777
08d9cdda-846b-489b-9_1_640_1648_1040_2048.png,0.1353375,0.15504375,0.13970625,0.0995875,0.133125,0.14484375,0.12630625,0.045725,0.1051
08d9cdda-846b-489b-9_1_960_1648_1360_2048.png,0.12350625,0.12093125,0.11874375,0.117575,0.12355625,0.11916875,0.11868125,0.08403125,0.14513125
08d9cdda-846b-489b-9_1_1280_1648_1680_2048.png,0.1572,0.2023625,0.203725,0.166375,0.19335,0.18011875,0.14499375,0.1025375,0.1532875
08d9cdda-846b-489b-9_1_1600_1648_2000_2048.png,0.05501875,0.0615125,0.05821875,0.06008125,0.05986875,0.06029375,0.0595375,0.0444125,0.09906875
08d9cdda-846b-489b-9_1_1648_1648_2048_2048.png,0.04944375,0.05643125,0.053,0.054025,0.05490625,0.0551375,0.05486875,0.01550625,0.12166875
12ec2b72-2167-4e9c-9_2_0_0_400_400.png,0.07015625,0.09691875,0.09885,0.09290625,0.09075625,0.09484375,0.0926875,0.06948125,0.07783125
12ec2b72-2167-4e9c-9_2_320_0_720_400.png,0.08024375,0.07988125,0.0869875,0.078075,0.0789625,0.0878125,0.0783875,0.06966875,0.17125
12ec2b72-2167-4e9c-9_2_640_0_1040_400.png,0.071025,0.0721625,0.0791,0.0699375,0.070525,0.07898125,0.0707,0.0735625,0.11106875
12ec2b72-2167-4e9c-9_2_960_0_1360_400.png,0.081225,0.1076,0.09236875,0.08543125,0.0919625,0.09910625,0.0784875,0.0574625,0.07939375
12ec2b72-2167-4e9c-9_2_1280_0_1680_400.png,0.085975,0.0921375,0.08908125,0.0884625,0.0855875,0.08693125,0.0914625,0.06628125,0.09008125
12ec2b72-2167-4e9c-9_2_1600_0_2000_400.png,0.03645625,0.0370625,0.03601875,0.03641875,0.0359875,0.0363625,0.0362,0.03546875,0.0418
12ec2b72-2167-4e9c-9_2_1648_0_2048_400.png,0.0323875,0.0341625,0.0339,0.0340375,0.03140625,0.0341125,0.03456875,0.02216875,0.04029375
12ec2b72-2167-4e9c-9_2_0_320_400_720.png,0.02095625,0.02038125,0.02025625,0.02045625,0.020175,0.0202,0.02063125,0.0041625,0.0208
12ec2b72-2167-4e9c-9_2_320_320_720_720.png,0.0582,0.0580375,0.0566125,0.0564375,0.05716875,0.05769375,0.05635625,0.04318125,0.0773125
12ec2b72-2167-4e9c-9_2_640_320_1040_720.png,0.0322375,0.0349125,0.0341125,0.03414375,0.0335,0.03376875,0.03380625,0.03293125,0.0405875
12ec2b72-2167-4e9c-9_2_960_320_1360_720.png,0.067925,0.07153125,0.06860625,0.07040625,0.06940625,0.071725,0.069075,0.068675,0.0684625
12ec2b72-2167-4e9c-9_2_1280_320_1680_720.png,0.03979375,0.04035,0.03918125,0.0392375,0.0391125,0.03975625,0.03903125,0.0362875,0.06045625
12ec2b72-2167-4e9c-9_2_1600_320_2000_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00631875
12ec2b72-2167-4e9c-9_2_1648_320_2048_720.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12ec2b72-2167-4e9c-9_2_0_640_400_1040.png,0.01700625,0.0,0.0,0.0,0.0,0.0,0.0,0.01640625,0.01443125
12ec2b72-2167-4e9c-9_2_320_640_720_1040.png,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0143375,0.01521875
12ec2b72-2167-4e9c-9_2_640_640_1040_1040.png,0.02463125,0.0,0.0,0.0,0.0,0.0,0.0,0.02414375,0.02545625
12ec2b72-2167-4e9c-9_2_960_640_1360_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12ec2b72-2167-4e9c-9_2_1280_640_1680_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12ec2b72-2167-4e9c-9_2_1600_640_2000_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12ec2b72-2167-4e9c-9_2_1648_640_2048_1040.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000375
12ec2b72-2167-4e9c-9_2_0_960_400_1360.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030625
12ec2b72-2167-4e9c-9_2_320_960_720_1360.png,0.00464375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00689375
12ec2b72-2167-4e9c-9_2_640_960_1040_1360.png,0.06841875,0.0685,0.06523125,0.06671875,0.06674375,0.0672625,0.0675125,0.06121875,0.06555
12ec2b72-2167-4e9c-9_2_960_960_1360_1360.png,0.03879375,0.0386875,0.0375875,0.0379625,0.03736875,0.03871875,0.03769375,0.02805,0.03920625
12ec2b72-2167-4e9c-9_2_1280_960_1680_1360.png,0.05480625,0.056675,0.0523625,0.05330625,0.053375,0.0543,0.05409375,0.04039375,0.0480875
12ec2b72-2167-4e9c-9_2_1600_960_2000_1360.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12ec2b72-2167-4e9c-9_2_1648_960_2048_1360.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12ec2b72-2167-4e9c-9_2_0_1280_400_1680.png,0.04858125,0.0545375,0.05425625,0.04174375,0.0550375,0.0545625,0.04520625,0.04119375,0.06890625
12ec2b72-2167-4e9c-9_2_320_1280_720_1680.png,0.06325625,0.0628125,0.06094375,0.061225,0.06163125,0.06185,0.0614125,0.0599625,0.0733875
12ec2b72-2167-4e9c-9_2_640_1280_1040_1680.png,0.09185,0.10245,0.09975,0.08718125,0.100975,0.10164375,0.08856875,0.06489375,0.1062625
12ec2b72-2167-4e9c-9_2_960_1280_1360_1680.png,0.0377875,0.03705625,0.0362875,0.03668125,0.0357,0.03636875,0.03643125,0.02361875,0.04170625
12ec2b72-2167-4e9c-9_2_1280_1280_1680_1680.png,0.02290625,0.01989375,0.0203125,0.0197375,0.02033125,0.02039375,0.020575,0.01848125,0.0200125
12ec2b72-2167-4e9c-9_2_1600_1280_2000_1680.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11959375
12ec2b72-2167-4e9c-9_2_1648_1280_2048_1680.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
